점검일자,연월,지사,사업장,점검자,직급,점검유형,Area/공정,위험분류,위험요소원본,심각도원본,심각도점수,지적내용_평문,조치유형,조치활동분류,조치내용_평문,완료여부,지적내용,조치내용
2026-07-08,2026-07,광양지사,하포일반부두,INSPECTOR_12,EHS팀 책임,지사 주관,광양지사_ 하포일반부두,전도,전도,관계법규 위반,4.0,"현장 내 산소 용기가 바닥에 눕혀진 상태로 방치 외부 충격으로 밸브 파손시 고압가스가 급격히 분출되어 용기 튕겨 나갈수 있음. 주변 인화물질과 접촉시 화재, 폭발 위험 현장 개선조치",즉시처리,설치·구조물,전도 방지를 위해 고정조치 실시,완료,"<내용>
현장 내 산소 용기가 바닥에 눕혀진 상태로 방치
<위험요소>
외부 충격으로 밸브 파손시 고압가스가 급격히 분출되어 용기 튕겨 나갈수 있음. 주변 인화물질과 접촉시 화재, 폭발 위험
<요청사항>
현장 개선조치",전도 방지를 위해 고정조치 실시 
2026-07-08,2026-07,광양지사,하포일반부두,INSPECTOR_12,EHS팀 책임,지사 주관,광양지사_ 하포일반부두,관리적미흡,관리적 미흡,개선필요 [중],2.0,지게차 엔진룸 청소 작업 중 엔진오일 및 유압유 등이 그대로 누출되는 상태 환경오염 및 폐기물 관리 미흡 현장 시정조치,즉시처리,제거·차단,배수로에 흡착포 사용하여 누출오일 제거,완료,"<내용>
지게차 엔진룸 청소 작업 중 엔진오일 및 유압유 등이 그대로 누출되는 상태
<위험요소>
환경오염 및 폐기물 관리 미흡
<요청사항>
현장 시정조치 
",배수로에 흡착포 사용하여 누출오일 제거 
2026-07-08,2026-07,광양지사,하포일반부두,INSPECTOR_12,EHS팀 책임,지사 주관,광양지사_ 하포일반부두,기타,기타,핵심안전수칙 위반,4.0,차량운전원 안전모 미착용 상태로 하차 및 보행. 현장 안전 수칙 위반 (차량 운전원 하차시 안전모 착용),즉시처리,교육·지도,차량운전원에게 작업장 내 하차 시 안전모 착용 필요성 교육 및 착용 지도. 관리감독자에게 작업구역 내 근로자 보호구 착용 여부 확인 지도.,완료,"<내용>
차량운전원 안전모 미착용 상태로 하차 및 보행. 
현장 안전 수칙 위반 (차량 운전원 하차시 안전모 착용)","차량운전원에게 작업장 내 하차 시 안전모 착용 필요성 교육 및 착용 지도.
관리감독자에게 작업구역 내 근로자 보호구 착용 여부 확인 지도."
2026-07-07,2026-07,전북지사,군산항 부두,INSPECTOR_05,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,끼임·협착,끼임ㆍ협착,개선필요 [중],2.0,코일 하역 후 야적된 코일에 구름방지 고임목 미설치 개소 발생에 따른 조치 요청,즉시처리,설치·구조물,구름장지 고임목 설치가 누락된 개소에 고임목 설치 완료,완료,"[군산항 5부두]
코일 하역 후 야적된 코일에 구름방지 고임목 미설치 개소 발생에 따른 조치 요청",구름장지 고임목 설치가 누락된 개소에 고임목 설치 완료
2026-07-07,2026-07,전북지사,군산항 부두,INSPECTOR_05,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,기타,기타,개선필요 [하],1.0,1. 텐트창고 폭우 및 장마로 인한 우수유입 발생 주의 필요 2. 5부두 육상담당자를 통해 모래주머니 or 물막이 등 사전 준비 요청,즉시처리,설치·구조물,현장 반장님들과 모래주머니 제작하여 우수유입이 발생된 위치에 모래주며니 설치 완료,완료,"[군산항 5부두]
1. 텐트창고 폭우 및 장마로 인한 우수유입 발생 주의 필요
2. 5부두 육상담당자를 통해 모래주머니 or 물막이 등 사전 준비 요청",현장 반장님들과 모래주머니 제작하여 우수유입이 발생된 위치에 모래주며니 설치 완료
2026-07-07,2026-07,광양지사,여수,INSPECTOR_06,EHS팀 주임,지사 주관,광양지사_ 여수,관리적미흡,관리적 미흡,개선필요 [중],2.0,- 여수 휴캠스 위험물 옥외 저장소 내 근로자 (리치스태커) 및 화물차 (운송 협력사) 안전/보건 교육 실시 필요,,미분류,,진행(조치 전),- 여수 휴캠스 위험물 옥외 저장소 내 근로자 (리치스태커) 및 화물차 (운송 협력사) 안전/보건 교육 실시 필요,
2026-07-07,2026-07,광양지사,여수,INSPECTOR_06,EHS팀 주임,지사 주관,광양지사_ 여수,끼임·협착,끼임ㆍ협착,개선필요 [중],2.0,- 여수 휴캠스 위험물 옥외저장소 사업장 출입구 안전/보건 표지 부착 필요 (화물차 운전원 하차 금지 등),,미분류,,진행(조치 전),- 여수 휴캠스 위험물 옥외저장소 사업장 출입구 안전/보건 표지 부착 필요 (화물차 운전원 하차 금지 등),
2026-07-07,2026-07,광양지사,여수,INSPECTOR_06,EHS팀 주임,지사 주관,광양지사_ 여수,관리적미흡,관리적 미흡,개선필요 [상],3.0,- 여수 휴캠스 위험물 옥외저장소 사업장 위험성평가 내용 추가 필요 1) 컨테이너 상/하차 작업 시 노면 단차 차이로 인한 리치스태커 전도 사고 위험 2) 겨울철 리치스태커 장비 운전원 승/하차 시 미끄러짐으로 인한 전도 위험 3) 컨테이너 상/하차 작업 시 화물차 운전원 하차하여 운행 중인 리치스태커와 충돌 위험,,미분류,,진행(조치 전),"- 여수 휴캠스 위험물 옥외저장소 사업장 위험성평가 내용 추가 필요
1) 컨테이너 상/하차 작업 시 노면 단차 차이로 인한 리치스태커 전도 사고 위험
2) 겨울철 리치스태커 장비 운전원 승/하차 시 미끄러짐으로 인한 전도 위험
3) 컨테이너 상/하차 작업 시 화물차 운전원 하차하여 운행 중인 리치스태커와 충돌 위험",
2026-07-07,2026-07,광양지사,여수,INSPECTOR_06,EHS팀 주임,지사 주관,광양지사_ 여수,관리적미흡,관리적 미흡,개선필요 [중],2.0,- 여수 휴캠스 위험물 옥외저장소 사업장 선임된 위험물 안전관리자 변경에 따른 표지 수정 필요,,미분류,,진행(조치 전),- 여수 휴캠스 위험물 옥외저장소 사업장 선임된 위험물 안전관리자 변경에 따른 표지 수정 필요,
2026-07-07,2026-07,광양지사,여수,INSPECTOR_06,EHS팀 주임,지사 주관,광양지사_ 여수,관리적미흡,관리적 미흡,개선필요 [중],2.0,- 여수 휴캠스 위험물 옥외저장소 사업장 내 운영중인 삼성건기 리치스태커 장비 내 오일류 비치로 인한 화재 위험 및 확산 가능성 존재,,미분류,,진행(조치 전),- 여수 휴캠스 위험물 옥외저장소 사업장 내 운영중인 삼성건기 리치스태커 장비 내 오일류 비치로 인한 화재 위험 및 확산 가능성 존재,
